country,ISO3,value
Aruba,ABW,42698.35987
Afghanistan,AFG,1665.805842
Angola,AGO,6491.125578
Albania,ALB,15709.25126
Andorra,AND,
United Arab Emirates,ARE,76609.198
Argentina,ARG,23649.6703
Armenia,ARM,15592.48736
American Samoa,ASM,
Antigua and Barbuda,ATG,21010.00357
Australia,AUS,56281.37865
Austria,AUT,58430.64025
Azerbaijan,AZE,15854.55084
Burundi,BDI,774.5428909
Belgium,BEL,58905.16378
Benin,BEN,3649.04065
Burkina Faso,BFA,2394.705365
Bangladesh,BGD,6493.809393
Bulgaria,BGR,27926.10922
Bahrain,BHR,54256.77143
Bahamas,BHS,33188.73247
Bosnia and Herzegovina,BIH,17376.60824
Belarus,BLR,21698.57409
Belize,BLZ,9626.573571
Bermuda,BMU,88185.46587
Bolivia,BOL,8846.081965
Brazil,BRA,16031.08617
Barbados,BRB,15110.95733
Brunei Darussalam,BRN,66055.2483
Bhutan,BTN,11983.31697
Botswana,BWA,16304.15336
Central African Republic,CAF,920.0784701
Canada,CAN,52085.03569
Switzerland,CHE,77273.60724
Chile,CHL,28684.78027
China,CHN,19338.23408
Cote d'Ivoire,CIV,5850.051925
Cameroon,CMR,4065.31161
DR Congo,COD,1179.499142
Congo Republic,COG,3553.287985
Colombia,COL,16819.17629
Comoros,COM,3546.843502
Cabo Verde,CPV,6716.956331
Costa Rica,CRI,23319.50228
Cuba,CUB,
Curacao,CUW,22832.19418
Cayman Islands,CYM,74155.27789
Cyprus,CYP,44109.67188
Czechia,CZE,45093.65777
Germany,DEU,57881.08358
Djibouti,DJI,5397.679018
Dominica,DMA,11950.55716
Denmark,DNK,64651.21645
Dominican Republic,DOM,20462.51713
Algeria,DZA,12128.27499
Ecuador,ECU,11720.64464
Egypt,EGY,12706.40445
Eritrea,ERI,
Spain,ESP,40698.6887
Estonia,EST,42138.32058
Ethiopia,ETH,2547.716814
Finland,FIN,55013.38586
Fiji,FJI,11380.5695
France,FRA,50541.25936
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3642.095394
Gabon,GAB,15175.68734
United Kingdom,GBR,49675.30467
Georgia,GEO,17013.56632
Ghana,GHA,5971.125009
Gibraltar,GIB,
Guinea,GIN,2900.668958
Gambia,GMB,2281.305526
Guinea-Bissau,GNB,2011.94848
Equatorial Guinea,GNQ,16080.14326
Greece,GRC,31363.80736
Grenada,GRD,15037.84954
Greenland,GRL,
Guatemala,GTM,9806.82822
Guam,GUM,
Guyana,GUY,24086.90092
Hong Kong,HKG,65891.69471
Honduras,HND,6121.565844
Croatia,HRV,34314.01846
Haiti,HTI,3153.12702
Hungary,HUN,36752.4965
Indonesia,IDN,13027.30061
Isle of Man,IMN,
India,IND,7241.98423
Ireland,IRL,106351.3735
Iran,IRN,16484.07536
Iraq,IRQ,9846.0415
Iceland,ISL,57611.59178
Israel,ISR,43721.62304
Italy,ITA,45902.23562
Jamaica,JAM,10542.73779
Jordan,JOR,10132.50388
Japan,JPN,42940.40525
Kazakhstan,KAZ,28684.89806
Kenya,KEN,5211.170533
Kyrgyz Republic,KGZ,5289.687125
Cambodia,KHM,4783.903614
Kiribati,KIR,2128.076638
St. Kitts and Nevis,KNA,29097.1867
South Korea,KOR,47242.52723
Kuwait,KWT,
Laos,LAO,8620.647618
Lebanon,LBN,14256.68971
Liberia,LBR,1563.552927
Libya,LBY,24130.82983
St. Lucia,LCA,14332.22151
Liechtenstein,LIE,
Sri Lanka,LKA,14706.54132
Lesotho,LSO,2521.530663
Lithuania,LTU,42581.26696
Luxembourg,LUX,134544.5291
Latvia,LVA,34444.31209
Macau,MAC,71185.65564
Saint-Martin,MAF,
Morocco,MAR,8852.914063
Monaco,MCO,
Moldova,MDA,15390.46583
Madagascar,MDG,1607.935225
Maldives,MDV,20615.37308
Mexico,MEX,20277.17677
Marshall Islands,MHL,6549.621884
North Macedonia,MKD,18222.2861
Mali,MLI,2329.706181
Malta,MLT,48581.45094
Myanmar,MMR,4430.222427
Montenegro,MNE,23284.56728
Mongolia,MNG,12818.87945
Northern Mariana Islands,MNP,
Mozambique,MOZ,1347.720024
Mauritania,MRT,5830.817088
Mauritius,MUS,23035.283
Malawi,MWI,1638.152251
Malaysia,MYS,28929.4742
Namibia,NAM,10038.73827
New Caledonia,NCL,
Niger,NER,1303.567363
Nigeria,NGA,5407.979457
Nicaragua,NIC,6194.70035
Netherlands,NLD,63768.20005
Norway,NOR,79201.23025
Nepal,NPL,4209.759393
Nauru,NRU,13125.34837
New Zealand,NZL,46419.5087
Oman,OMN,37676.0574
Pakistan,PAK,5748.005952
Panama,PAN,31900.94175
Peru,PER,13748.53362
Philippines,PHL,8892.789346
Palau,PLW,15144.56896
Papua New Guinea,PNG,4040.039446
Poland,POL,37836.76295
Puerto Rico,PRI,35850.32193
North Korea,PRK,
Portugal,PRT,35798.75385
Paraguay,PRY,15037.18964
Palestine,PSE,6199.451018
French Polynesia,PYF,
Qatar,QAT,102018.1159
Romania,ROU,35869.63348
Russia,RUS,32862.62109
Rwanda,RWA,2459.707347
Saudi Arabia,SAU,48710.94768
Sudan,SDN,4065.976074
Senegal,SEN,3840.032959
Singapore,SGP,116486.4732
Solomon Islands,SLB,2648.732207
Sierra Leone,SLE,1773.899246
El Salvador,SLV,9981.88602
San Marino,SMR,
Somalia,SOM,1248.812487
Serbia,SRB,21503.35809
South Sudan,SSD,
Sao Tome and Principe,STP,4451.642512
Suriname,SUR,16222.6757
Slovakia,SVK,33010.29075
Slovenia,SVN,43602.4892
Sweden,SWE,59323.96461
Eswatini,SWZ,9730.068125
Sint Maarten,SXM,
Seychelles,SYC,31596.15966
Syria,SYR,
Turks and Caicos Islands,TCA,20337.69338
Chad,TCD,1566.041161
Togo,TGO,2334.299325
Thailand,THA,18760.75522
Tajikistan,TJK,4288.16789
Turkmenistan,TKM,
Timor-Leste,TLS,5528.580523
Tonga,TON,6748.512118
Trinidad and Tobago,TTO,25308.49072
Tunisia,TUN,11282.48463
TÃ¼rkiye,TUR,30737.0175
Tuvalu,TUV,5409.511692
Tanzania,TZA,2836.242432
Uganda,UGA,2467.899337
Ukraine,UKR,14219.79004
Uruguay,URY,25048.72397
United States,USA,69287.53659
Uzbekistan,UZB,8497.448308
St. Vincent and the Grenadines,VCT,15045.30178
Venezuela,VEN,
British Virgin Islands,VGB,
United States Virgin Islands,VIR,
Vietnam,VNM,11676.10856
Vanuatu,VUT,3057.4114
Samoa,WSM,6079.764271
Kosovo,XKX,13055.90078
Yemen,YEM,
South Africa,ZAF,14624.41517
Zambia,ZMB,3555.920229
Zimbabwe,ZWE,2323.687257
